"","Single-ended 1 Last (mbar)"
"891","14.585"
"892","14.584"
"893","14.583"
"894","14.585"
"895","14.586"
"896","14.585"
"897","14.584"
"898","14.582"
"899","14.584"
"900","14.583"
"901","14.582"
"902","14.577"
"903","14.578"
"904","14.581"
"905","14.581"
"906","14.579"
"907","14.579"
"908","14.579"
"909","14.580"
"910","14.580"
"911","14.579"
"912","14.579"
"913","14.576"
"914","14.577"
"915","14.576"
"916","14.575"
"917","14.575"
"918","14.574"
"919","14.572"
"920","14.573"
"921","14.572"
"922","14.571"
"923","14.571"
"924","14.569"
"925","14.570"
"926","14.569"
"927","14.571"
"928","14.570"
"929","14.571"
"930","14.570"
"931","14.569"
"932","14.570"
"933","14.569"
"934","14.569"
"935","14.568"
"936","14.568"
"937","14.568"
"938","14.566"
"939","14.566"
"940","14.566"
"941","14.567"
"942","14.565"
"943","14.565"
"944","14.563"
"945","14.565"
"946","14.564"
"947","14.565"
"948","14.564"
"949","14.563"
"950","14.564"
"951","14.565"
"952","14.564"
"953","14.565"
"954","14.562"
"955","14.562"
"956","14.561"
"957","14.562"
"958","14.561"
"959","14.560"
"960","14.561"
"961","14.562"
"962","14.561"
"963","14.562"
"964","14.560"
"965","14.560"
"966","14.560"
"967","14.561"
"968","14.559"
"969","14.558"
"970","14.560"
"971","14.560"
"972","14.557"
"973","14.558"
"974","14.558"
"975","14.556"
"976","14.556"
"977","14.552"
"978","14.552"
"979","14.552"
"980","14.553"
"981","14.552"
"982","14.553"
"983","14.551"
"984","14.551"
"985","14.550"
"986","14.549"
"987","14.551"
"988","14.552"
"989","14.550"
"990","14.550"
"991","14.549"
"992","14.548"
"993","14.548"
"994","14.551"
"995","14.548"
"996","14.547"
"997","14.545"
"998","14.547"
"999","14.547"
"1000","14.546"
"1001","14.546"
"1002","14.546"
"1003","14.546"
"1004","14.546"
"1005","14.544"
"1006","14.544"
"1007","14.545"
"1008","14.544"
"1009","14.542"
"1010","14.544"
"1011","14.543"
"1012","14.541"
"1013","14.542"
"1014","14.543"
"1015","14.542"
"1016","14.542"
"1017","14.542"
"1018","14.542"
"1019","14.542"
"1020","14.541"
"1021","14.539"
"1022","14.539"
"1023","14.540"
"1024","14.539"
"1025","14.538"
"1026","14.539"
"1027","14.538"
"1028","14.540"
"1029","14.538"
"1030","14.538"
"1031","14.535"
"1032","14.535"
"1033","14.535"
"1034","14.535"
"1035","14.533"
"1036","14.533"
"1037","14.534"
"1038","14.534"
"1039","14.532"
"1040","14.530"
"1041","14.533"
"1042","14.534"
"1043","14.533"
"1044","14.530"
"1045","14.530"
"1046","14.531"
"1047","14.531"
"1048","14.532"
"1049","14.531"
"1050","14.532"
"1051","14.531"
"1052","14.531"
"1053","14.530"
"1054","14.530"
"1055","14.529"
"1056","14.529"
"1057","14.531"
"1058","14.530"
"1059","14.530"
"1060","14.528"
"1061","14.531"
"1062","14.530"
"1063","14.527"
"1064","14.528"
"1065","14.527"
"1066","14.528"
"1067","14.527"
"1068","14.526"
"1069","14.528"
"1070","14.528"
"1071","14.526"
"1072","14.524"
"1073","14.526"
"1074","14.523"
"1075","14.524"
"1076","14.524"
"1077","14.524"
"1078","14.523"
"1079","14.523"
"1080","14.524"
"1081","14.524"
"1082","14.524"
"1083","14.525"
"1084","14.523"
"1085","14.522"
"1086","14.522"
"1087","14.521"
"1088","14.521"
"1089","14.520"
"1090","14.519"
"1091","14.520"
"1092","14.520"
"1093","14.519"
"1094","14.518"
"1095","14.518"
"1096","14.519"
"1097","14.519"
"1098","14.518"
"1099","14.517"
"1100","14.518"
"1101","14.519"
"1102","14.520"
"1103","14.518"
"1104","14.516"
"1105","14.517"
"1106","14.516"
"1107","14.519"
"1108","14.517"
"1109","14.515"
"1110","14.514"
"1111","14.515"
"1112","14.514"
"1113","14.514"
"1114","14.513"
"1115","14.513"
"1116","14.514"
"1117","14.510"
"1118","14.512"
"1119","14.510"
"1120","14.510"
"1121","14.509"
"1122","14.510"
"1123","14.510"
"1124","14.509"
"1125","14.507"
"1126","14.506"
"1127","14.508"
"1128","14.509"
"1129","14.505"
"1130","14.505"
"1131","14.505"
"1132","14.507"
"1133","14.506"
"1134","14.506"
"1135","14.506"
"1136","14.504"
"1137","14.506"
"1138","14.506"
"1139","14.503"
"1140","14.504"
"1141","14.504"
"1142","14.505"
"1143","14.504"
"1144","14.504"
"1145","14.503"
"1146","14.504"
"1147","14.506"
"1148","14.504"
"1149","14.505"
"1150","14.504"
"1151","14.503"
"1152","14.502"
"1153","14.500"
"1154","14.500"
"1155","14.500"
"1156","14.500"
"1157","14.499"
"1158","14.501"
"1159","14.500"
"1160","14.498"
"1161","14.498"
"1162","14.499"
"1163","14.497"
"1164","14.499"
"1165","14.500"
"1166","14.502"
"1167","14.497"
"1168","14.499"
"1169","14.497"
"1170","14.495"
"1171","14.497"
"1172","14.498"
"1173","14.496"
"1174","14.497"
"1175","14.496"
"1176","14.494"
"1177","14.496"
"1178","14.495"
"1179","14.495"
"1180","14.495"
"1181","14.493"
"1182","14.494"
"1183","14.492"
"1184","14.494"
